channel_name,message_id,image_path,detected_class,confidence_score,image_category
lobelia4cosmetics,26294,data/raw/images/lobelia4cosmetics/26294.jpg,bottle,0.2634,product_display
lobelia4cosmetics,26295,data/raw/images/lobelia4cosmetics/26295.jpg,bottle,0.6695,product_display
lobelia4cosmetics,26295,data/raw/images/lobelia4cosmetics/26295.jpg,vase,0.6104,product_display
lobelia4cosmetics,26296,data/raw/images/lobelia4cosmetics/26296.jpg,,,other
lobelia4cosmetics,26297,data/raw/images/lobelia4cosmetics/26297.jpg,,,other
lobelia4cosmetics,26298,data/raw/images/lobelia4cosmetics/26298.jpg,,,other
lobelia4cosmetics,26299,data/raw/images/lobelia4cosmetics/26299.jpg,,,other
lobelia4cosmetics,26300,data/raw/images/lobelia4cosmetics/26300.jpg,bottle,0.5097,product_display
lobelia4cosmetics,26300,data/raw/images/lobelia4cosmetics/26300.jpg,bottle,0.5074,product_display
lobelia4cosmetics,26300,data/raw/images/lobelia4cosmetics/26300.jpg,dining table,0.4609,product_display
lobelia4cosmetics,26300,data/raw/images/lobelia4cosmetics/26300.jpg,bottle,0.4239,product_display
lobelia4cosmetics,26300,data/raw/images/lobelia4cosmetics/26300.jpg,bottle,0.4207,product_display
lobelia4cosmetics,26300,data/raw/images/lobelia4cosmetics/26300.jpg,cup,0.3684,product_display
lobelia4cosmetics,26300,data/raw/images/lobelia4cosmetics/26300.jpg,bottle,0.3385,product_display
lobelia4cosmetics,26300,data/raw/images/lobelia4cosmetics/26300.jpg,bottle,0.326,product_display
lobelia4cosmetics,26300,data/raw/images/lobelia4cosmetics/26300.jpg,bottle,0.3152,product_display
lobelia4cosmetics,26300,data/raw/images/lobelia4cosmetics/26300.jpg,bottle,0.3124,product_display
lobelia4cosmetics,26300,data/raw/images/lobelia4cosmetics/26300.jpg,bottle,0.2993,product_display
lobelia4cosmetics,26300,data/raw/images/lobelia4cosmetics/26300.jpg,bottle,0.2902,product_display
lobelia4cosmetics,26301,data/raw/images/lobelia4cosmetics/26301.jpg,person,0.3117,lifestyle
lobelia4cosmetics,26302,data/raw/images/lobelia4cosmetics/26302.jpg,,,other
lobelia4cosmetics,26303,data/raw/images/lobelia4cosmetics/26303.jpg,,,other
lobelia4cosmetics,26304,data/raw/images/lobelia4cosmetics/26304.jpg,,,other
lobelia4cosmetics,26305,data/raw/images/lobelia4cosmetics/26305.jpg,,,other
lobelia4cosmetics,26306,data/raw/images/lobelia4cosmetics/26306.jpg,bottle,0.3844,product_display
lobelia4cosmetics,26306,data/raw/images/lobelia4cosmetics/26306.jpg,cell phone,0.3352,product_display
lobelia4cosmetics,26306,data/raw/images/lobelia4cosmetics/26306.jpg,bottle,0.3006,product_display
lobelia4cosmetics,26307,data/raw/images/lobelia4cosmetics/26307.jpg,,,other
lobelia4cosmetics,26308,data/raw/images/lobelia4cosmetics/26308.jpg,,,other
lobelia4cosmetics,26309,data/raw/images/lobelia4cosmetics/26309.jpg,bottle,0.2911,product_display
lobelia4cosmetics,26310,data/raw/images/lobelia4cosmetics/26310.jpg,refrigerator,0.4421,product_display
